Date,Term,Contexts,Programs,Total Matches
2015-10-13,Rand Paul,3,3,4
2015-10-13,Ted Cruz,3,3,3
2015-10-14,Ben Carson,2,2,2
2015-10-14,Carly Fiorina,3,3,5
2015-10-14,Chris Christie,0,0,0
2015-10-14,Donald Trump,27,28,72
2015-10-14,Jeb Bush,5,5,7
2015-10-14,John Kasich,0,0,0
2015-10-14,Marco Rubio,0,0,0
2015-10-14,Rand Paul,0,0,0
2015-10-14,Ted Cruz,1,1,1
2015-10-15,Ben Carson,6,6,9
2015-10-15,Carly Fiorina,2,2,2
2015-10-15,Chris Christie,3,4,5
2015-10-15,Donald Trump,29,31,54
2015-10-15,Jeb Bush,1,1,1
2015-10-15,John Kasich,0,0,0
2015-10-15,Marco Rubio,6,7,7
2015-10-15,Rand Paul,1,1,1
2015-10-15,Ted Cruz,1,2,2
2015-10-16,Ben Carson,17,24,41
2015-10-16,Carly Fiorina,6,7,7
2015-10-16,Chris Christie,3,3,5
2015-10-16,Donald Trump,31,37,82
2015-10-16,Jeb Bush,14,15,27
2015-10-16,John Kasich,0,0,0
2015-10-16,Marco Rubio,6,10,10
2015-10-16,Rand Paul,3,3,6
2015-10-16,Ted Cruz,6,6,6
2015-10-17,Ben Carson,2,5,5
2015-10-17,Carly Fiorina,2,3,4
2015-10-17,Chris Christie,0,0,0
2015-10-17,Donald Trump,7,9,21
2015-10-17,Jeb Bush,3,3,8
2015-10-17,John Kasich,0,0,0
2015-10-17,Marco Rubio,0,0,0
2015-10-17,Rand Paul,0,0,0
2015-10-17,Ted Cruz,3,3,3
2015-10-18,Ben Carson,9,10,25
2015-10-18,Carly Fiorina,4,5,9
2015-10-18,Chris Christie,2,2,2
2015-10-18,Donald Trump,14,16,70
2015-10-18,Jeb Bush,11,14,55
2015-10-18,John Kasich,0,0,0
2015-10-18,Marco Rubio,3,3,5
2015-10-18,Rand Paul,4,4,8
2015-10-18,Ted Cruz,8,8,20
2015-10-19,Ben Carson,6,7,12
2015-10-19,Carly Fiorina,2,2,3
2015-10-19,Chris Christie,0,0,0
2015-10-19,Donald Trump,26,34,83
2015-10-19,Jeb Bush,20,28,92
2015-10-19,John Kasich,0,0,0
2015-10-19,Marco Rubio,3,4,4
2015-10-19,Rand Paul,1,1,2
2015-10-19,Ted Cruz,1,1,5
2015-10-20,Ben Carson,12,23,31
2015-10-20,Carly Fiorina,4,4,5
2015-10-20,Chris Christie,3,3,3
2015-10-20,Donald Trump,22,33,69
2015-10-20,Jeb Bush,7,8,15
2015-10-20,John Kasich,0,0,0
2015-10-20,Marco Rubio,6,7,8
2015-10-20,Rand Paul,1,1,3
2015-10-20,Ted Cruz,3,3,3
2015-10-21,Ben Carson,4,4,9
2015-10-21,Carly Fiorina,2,2,2
2015-10-21,Chris Christie,3,7,8
2015-10-21,Donald Trump,26,27,68
2015-10-21,Jeb Bush,3,3,3
2015-10-21,John Kasich,0,0,0
2015-10-21,Marco Rubio,2,2,2
2015-10-21,Rand Paul,0,0,0
2015-10-21,Ted Cruz,3,3,4
2015-10-22,Ben Carson,5,5,10
2015-10-22,Carly Fiorina,2,2,2
2015-10-22,Chris Christie,10,11,16
2015-10-22,Donald Trump,12,15,38
2015-10-22,Jeb Bush,5,5,7
2015-10-22,John Kasich,0,0,0
2015-10-22,Marco Rubio,3,3,3
2015-10-22,Rand Paul,0,0,0
2015-10-22,Ted Cruz,2,2,3
2015-10-23,Ben Carson,16,17,37
2015-10-23,Carly Fiorina,3,3,6
2015-10-23,Chris Christie,7,10,11
2015-10-23,Donald Trump,24,25,47
2015-10-23,Jeb Bush,11,12,19
2015-10-23,John Kasich,1,1,1
2015-10-23,Marco Rubio,6,6,6
2015-10-23,Rand Paul,1,1,1
2015-10-23,Ted Cruz,3,3,3
2015-10-24,Ben Carson,11,14,30
2015-10-24,Carly Fiorina,1,1,1
2015-10-24,Chris Christie,1,1,1
2015-10-24,Donald Trump,14,16,41
2015-10-24,Jeb Bush,7,8,15
2015-10-24,John Kasich,0,0,0
2015-10-24,Marco Rubio,1,1,1
2015-10-24,Rand Paul,0,0,0
2015-10-24,Ted Cruz,0,0,0
2015-10-25,Ben Carson,18,20,73
2015-10-25,Carly Fiorina,2,2,2
2015-10-25,Chris Christie,6,7,11
2015-10-25,Donald Trump,17,20,77
2015-10-25,Jeb Bush,12,15,54
2015-10-25,John Kasich,2,2,3
2015-10-25,Marco Rubio,3,3,13
2015-10-25,Rand Paul,0,0,0
2015-10-25,Ted Cruz,2,2,6
2015-10-26,Ben Carson,22,24,49
2015-10-26,Carly Fiorina,0,0,0
2015-10-26,Chris Christie,19,29,38
2015-10-26,Donald Trump,25,27,78
2015-10-26,Jeb Bush,11,12,33
2015-10-26,John Kasich,0,0,0
2015-10-26,Marco Rubio,4,4,6
2015-10-26,Rand Paul,0,0,0
2015-10-26,Ted Cruz,1,1,1
2015-10-27,Ben Carson,22,25,68
2015-10-27,Carly Fiorina,2,2,2
2015-10-27,Chris Christie,5,6,11
2015-10-27,Donald Trump,27,29,90
2015-10-27,Jeb Bush,8,9,28
2015-10-27,John Kasich,3,4,5
2015-10-27,Marco Rubio,4,4,7
2015-10-27,Rand Paul,0,0,0
2015-10-27,Ted Cruz,1,1,1
2015-10-28,Ben Carson,31,36,91
2015-10-28,Carly Fiorina,7,7,8
2015-10-28,Chris Christie,5,5,6
2015-10-28,Donald Trump,37,38,120
2015-10-28,Jeb Bush,14,15,34
2015-10-28,John Kasich,10,13,15
2015-10-28,Marco Rubio,11,12,24
2015-10-28,Rand Paul,4,4,7
2015-10-28,Ted Cruz,3,3,3
2015-10-29,Ben Carson,26,34,68
2015-10-29,Carly Fiorina,8,10,13
2015-10-29,Chris Christie,16,25,43
2015-10-29,Donald Trump,29,39,107
2015-10-29,Jeb Bush,24,28,79
2015-10-29,John Kasich,9,16,23
2015-10-29,Marco Rubio,23,26,88
2015-10-29,Rand Paul,2,2,4
2015-10-29,Ted Cruz,16,18,35
2015-10-30,Ben Carson,11,12,24
2015-10-30,Carly Fiorina,5,5,6
2015-10-30,Chris Christie,5,9,10
2015-10-30,Donald Trump,19,20,47
2015-10-30,Jeb Bush,14,14,40
2015-10-30,John Kasich,2,2,3
2015-10-30,Marco Rubio,11,11,23
2015-10-30,Rand Paul,4,5,7
2015-10-30,Ted Cruz,5,7,10
2015-10-31,Ben Carson,3,3,5
2015-10-31,Carly Fiorina,0,0,0
2015-10-31,Chris Christie,3,4,4
2015-10-31,Donald Trump,3,3,5
2015-10-31,Jeb Bush,5,6,16
2015-10-31,John Kasich,1,1,2
2015-10-31,Marco Rubio,4,4,8
2015-10-31,Rand Paul,1,1,1
2015-10-31,Ted Cruz,1,1,1
2015-11-01,Ben Carson,6,6,15
2015-11-01,Carly Fiorina,3,3,5
2015-11-01,Chris Christie,2,2,2
2015-11-01,Donald Trump,11,13,25
2015-11-01,Jeb Bush,9,9,55
2015-11-01,John Kasich,0,0,0
2015-11-01,Marco Rubio,7,7,40
2015-11-01,Rand Paul,0,0,0
2015-11-01,Ted Cruz,9,9,16
2015-11-02,Ben Carson,7,10,15
2015-11-02,Carly Fiorina,4,4,9
2015-11-02,Chris Christie,14,20,25
2015-11-02,Donald Trump,14,15,32
2015-11-02,Jeb Bush,11,12,37
2015-11-02,John Kasich,1,1,1
2015-11-02,Marco Rubio,10,11,20
2015-11-02,Rand Paul,1,1,2
2015-11-02,Ted Cruz,3,4,5
2015-11-03,Ben Carson,26,27,61
2015-11-03,Carly Fiorina,4,6,9
2015-11-03,Chris Christie,7,16,19
2015-11-03,Donald Trump,29,33,76
2015-11-03,Jeb Bush,13,14,36
2015-11-03,John Kasich,3,5,6
2015-11-03,Marco Rubio,13,16,30
2015-11-03,Rand Paul,0,0,0
2015-11-03,Ted Cruz,4,5,6
2015-11-04,Ben Carson,20,23,51
2015-11-04,Carly Fiorina,2,3,3
2015-11-04,Chris Christie,5,9,9
2015-11-04,Donald Trump,30,30,94
2015-11-04,Jeb Bush,17,19,42
2015-11-04,John Kasich,5,7,8
2015-11-04,Marco Rubio,13,19,40
2015-11-04,Rand Paul,0,0,0
2015-11-04,Ted Cruz,4,7,11
2015-11-05,Ben Carson,17,27,59
2015-11-05,Carly Fiorina,4,4,4
2015-11-05,Chris Christie,6,6,7
2015-11-05,Donald Trump,38,39,120
2015-11-05,Jeb Bush,16,16,23
2015-11-05,John Kasich,2,2,2
2015-11-05,Marco Rubio,13,13,26
2015-11-05,Rand Paul,1,1,1
2015-11-05,Ted Cruz,3,3,3
2015-11-06,Ben Carson,22,28,73
2015-11-06,Carly Fiorina,8,8,17
2015-11-06,Chris Christie,17,28,46
2015-11-06,Donald Trump,26,31,65
2015-11-06,Jeb Bush,10,11,20
2015-11-06,John Kasich,4,4,4
2015-11-06,Marco Rubio,7,7,8
2015-11-06,Rand Paul,2,2,2
2015-11-06,Ted Cruz,4,5,5
2015-11-07,Ben Carson,11,12,34
2015-11-07,Carly Fiorina,0,0,0
2015-11-07,Chris Christie,3,4,5
2015-11-07,Donald Trump,10,10,32
2015-11-07,Jeb Bush,3,3,13
2015-11-07,John Kasich,1,1,1
2015-11-07,Marco Rubio,1,1,1
2015-11-07,Rand Paul,2,2,2
2015-11-07,Ted Cruz,0,0,0
2015-11-08,Ben Carson,16,17,77
2015-11-08,Carly Fiorina,4,4,7
2015-11-08,Chris Christie,3,3,4
2015-11-08,Donald Trump,21,21,87
2015-11-08,Jeb Bush,5,5,19
2015-11-08,John Kasich,1,1,1
2015-11-08,Marco Rubio,7,7,16
2015-11-08,Rand Paul,1,1,4
2015-11-08,Ted Cruz,2,2,2
2015-11-09,Ben Carson,25,29,68
2015-11-09,Carly Fiorina,5,6,12
