Date,Term,Contexts,Programs,Total Matches
2014-12-07,Ben Carson,0,0,0
2014-12-07,Carly Fiorina,0,0,0
2014-12-07,Chris Christie,0,0,0
2014-12-07,Donald Trump,2,2,2
2014-12-07,Jeb Bush,3,3,7
2014-12-07,John Kasich,1,1,6
2014-12-07,Marco Rubio,1,1,1
2014-12-07,Rand Paul,1,1,1
2014-12-07,Ted Cruz,1,1,1
2014-12-08,Ben Carson,0,0,0
2014-12-08,Carly Fiorina,0,0,0
2014-12-08,Chris Christie,6,15,19
2014-12-08,Donald Trump,0,0,0
2014-12-08,Jeb Bush,1,1,2
2014-12-08,John Kasich,0,0,0
2014-12-08,Marco Rubio,1,1,1
2014-12-08,Rand Paul,1,1,1
2014-12-08,Ted Cruz,1,1,1
2014-12-09,Ben Carson,0,0,0
2014-12-09,Carly Fiorina,0,0,0
2014-12-09,Chris Christie,4,4,4
2014-12-09,Donald Trump,1,1,1
2014-12-09,Jeb Bush,0,0,0
2014-12-09,John Kasich,0,0,0
2014-12-09,Marco Rubio,1,1,1
2014-12-09,Rand Paul,0,0,0
2014-12-09,Ted Cruz,0,0,0
2014-12-10,Ben Carson,0,0,0
2014-12-10,Carly Fiorina,0,0,0
2014-12-10,Chris Christie,2,3,4
2014-12-10,Donald Trump,0,0,0
2014-12-10,Jeb Bush,1,1,1
2014-12-10,John Kasich,0,0,0
2014-12-10,Marco Rubio,0,0,0
2014-12-10,Rand Paul,1,1,1
2014-12-10,Ted Cruz,0,0,0
2014-12-11,Ben Carson,0,0,0
2014-12-11,Carly Fiorina,0,0,0
2014-12-11,Chris Christie,5,6,7
2014-12-11,Donald Trump,1,1,1
2014-12-11,Jeb Bush,0,0,0
2014-12-11,John Kasich,0,0,0
2014-12-11,Marco Rubio,0,0,0
2014-12-11,Rand Paul,0,0,0
2014-12-11,Ted Cruz,1,1,2
2014-12-12,Ben Carson,0,0,0
2014-12-12,Carly Fiorina,0,0,0
2014-12-12,Chris Christie,4,8,14
2014-12-12,Donald Trump,0,0,0
2014-12-12,Jeb Bush,0,0,0
2014-12-12,John Kasich,0,0,0
2014-12-12,Marco Rubio,0,0,0
2014-12-12,Rand Paul,0,0,0
2014-12-12,Ted Cruz,2,2,3
2014-12-13,Ben Carson,0,0,0
2014-12-13,Carly Fiorina,0,0,0
2014-12-13,Chris Christie,3,3,3
2014-12-13,Donald Trump,0,0,0
2014-12-13,Jeb Bush,2,2,3
